Taman Negara	Geography of Malaysia, National parks in Asia
Star Wars sequel trilogy	Mass media franchises introduced in the 2010s, Star Wars Skywalker Saga movies
Litoria corbeni	Animals of Asia, Frogs
Barthood	2015 television episodes, The Simpsons episodes
Wachtmeister af Johannishus	Swedish noble families
Von Düben	Swedish noble families
List of title and honours of the Spanish Crown	Monarchy, Spain, Europe-related lists
Caribbean poetry	Caribbean islands, Poetry
Claudia Rankine	Poets, 1963 births, Living people, Jamaican people
Kwame Dawes	Living people, 1962 births, Ghanaian people, Poets, Reggae musicians
Omeros	Epic poems, Poems, Nobel Prize in Literature winners, Greek mythology
Mr. Potato Head	Toys
Dasani	Drinks, Water
Series 80 (software platform)	Mobile phones
Wild Company	1930 movies, 1930s drama movies, American drama movies, 20th Century Fox movies, Movies directed by Leo McCarey
Homer at the Bat	1992 television episodes, The Simpsons (season 3) episodes
Life at the Top	1965 drama movies, British drama movies, Movies based on books, Movies directed by Ted Kotcheff
Aar Dheel	1890s births, 1940s deaths, Somali politicians
Diiriye Guure (Dhulbahante king)	1920s deaths, Somali people
Garad Ali IV	1840s births, 1899 deaths, Somali politicians
Loser Love	English-language movies, 1999 thriller movies, 1990s erotic movies, Canadian thriller movies, Movies directed by Jean-Marc Vallée
Grande Arche	Monuments and memorials, Buildings and structures in France
Celebrating the 75th anniversary of Victory in the Great Patriotic War	World War II, 2020 in Europe
Noble Family	Noble families
Josette (1938 movie)	1938 movies, 1930s romance movies, 1930s comedy movies, American romantic comedy movies, 20th Century Fox movies, Movies directed by Allan Dwan
Captain Qwark	Fictional characters introduced in 2002, Ratchet & Clank characters, Video game antagonists, Video game bosses
Proposition Infinity	2010 television episodes, Futurama episodes
Space Pilot 3000	1999 television episodes, Futurama episodes, Television episodes written by David X. Cohen
Spanish Fry	2003 television episodes, Futurama episodes
Master (Buffy the Vampire Slayer)	Angel (TV series) characters, Buffy the Vampire Slayer characters, Buffyverse vampires, Fictional characters introduced in 1997
Superman II	1980 movies, Superman movies
Taiwan Statebuilding Party	Political parties in Taiwan, Liberal parties, Nationalist organizations in Taiwan, 2016 establishments in Asia, 21st century establishments in Taiwan
Pound-Rebka experiment	Physics
Suez (movie)	1938 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, 20th Century Fox movies, Movies directed by Allan Dwan
Casper (movie)	1995 comedy movies, 1990s ghost movies, American comedy movies, American ghost movies, Universal Pictures movies
The Grudge (2004 movie)	2004 horror movies, 2000s ghost movies, 2000s movie remakes, American horror movies, American movie remakes, Movies set in 2004, Movies set in Japan
Community service	Community
Sheldon J. Plankton	SpongeBob SquarePants characters, Fictional characters introduced in 1999
Homer the Moe	The Simpsons episodes, 2001 television episodes, Thanksgiving television episodes
Life-affirming	Philosophical concepts
William Sanderson	1944 births, Living people, American movie actors, American television actors, Actors from Memphis, Tennessee
Karen Plankton	SpongeBob SquarePants characters, Fictional characters introduced in 1999
Lori Alan	1966 births, American child actors, American movie actors, American television actors, American voice actors, Actors from Maryland, Living people
FN FAL	Battle rifles
Pearl Krabs	SpongeBob SquarePants characters, Fictional characters introduced in 1999
Folk Nation	Gangs
SpongeBob SquarePants Theme Song	1999 songs
Léo de Almeida Neves	1932 births, 2020 deaths, Brazilian politicians, Brazilian economists, Brazilian lawyers, Deaths from bowel obstruction
Günther Pfaff	1939 births, 2020 deaths, Olympic bronze medalists, Sportspeople from Vienna
Boris Gurevich (wrestler, born 1931)	1931 births, 1995 deaths, Soviet Olympic gold medalists, Wrestlers, Sportspeople from Moscow
Boris Gurevich (wrestler, born 1937)	1937 births, 2020 deaths, Soviet Olympic gold medalists, Wrestlers
Edmund Jagiełło	1946 births, 2020 deaths, Polish politicians, Polish physicians
Andrew White (saxophonist)	1942 births, 2020 deaths, American jazz musicians, American R&B musicians, American educators, American songwriters, American guitarists, American saxophonists, American poets, American composers, Musicians from Washington, D.C., Writers from Washington, D.C.
Wolfgang Engelmann	1942 births, 2020 deaths, German politicians
Walter J. Gex III	1939 births, 2020 deaths, American judges, American lawyers, Politicians from Mississippi, US Republican Party politicians
Diamondhead, Mississippi	Cities in Mississippi
Kanybek Isakov	1969 births, 2020 deaths, Deaths from the COVID-19 pandemic in Kyrgyzstan, Kyrgyzstani people, Civil servants, Educators
Tibor Méray	1924 births, 2020 deaths, Journalists, Hungarian novelists, People from Budapest
Dave Quall	1936 births, 2020 deaths, State legislators of the United States, Politicians from Washington, US Democratic Party politicians
Neilia Hunter Biden	1942 births, 1972 deaths, Road accident deaths in the United States, American educators, Joe Biden, People from New York, People from Wilmington, Delaware
Skaneateles (town), New York	Towns in New York
Skaneateles (village), New York	Villages in New York
Ashley Biden	1981 births, Living people, Joe Biden, American philanthropists, American political activists, American fashion designers, Businesspeople from Wilmington, Delaware
Edward Francis Blewitt	1859 births, 1926 deaths, Engineers from Pennsylvania, State legislators of the United States, Scientists from Louisiana, Businesspeople from New Orleans, Louisiana, Politicians from New Orleans, Louisiana, Scientists from Pennsylvania, Businesspeople from Pennsylvania, Politicians from Pennsylvania, People from Scranton, Pennsylvania, US Democratic Party politicians, Joe Biden
Aldo Tambellini	1930 births, 2020 deaths, Italian painters, Italian sculptors, Italian poets, American painters, American sculptors, American poets, Deaths from surgical complications, Writers from New York, People from Syracuse, New York
Sakata Tōjūrō IV	1931 births, 2020 deaths, Japanese movie actors, Japanese stage actors
Howie Winter	1929 births, 2020 deaths, Deaths from myocardial infarction, People from Boston, Massachusetts, People convicted of drug offenses, American criminals, Mobsters
Adolfo Bolea	1933 births, 2020 deaths, Spanish footballers, Spanish football managers
Peter Florjančič	1919 births, 2020 deaths, Slovenian sportspeople, Olympians, Inventors, Centenarians
Max Gros-Louis	1931 births, 2020 deaths, Canadian businesspeople, Politicians from Quebec
Hasan Muratović	1940 births, 2020 deaths, Business people, Educators, Prime Ministers of the Federation of Bosnia and Herzegovina, Deaths from the COVID-19 pandemic in Bosnia and Herzegovina
Vidin Apostolov	1941 births, 2020 deaths, Bulgarian footballers
Rik Boel	1931 births, 2020 deaths, Belgian judges, Belgian lawyers, Belgian mayors, Flemish politicians, Government ministers of Belgium, People from Flemish Brabant, Socialistische Partij (Belgium) politicians
Terry Duerod	1956 births, 2020 deaths, Boston Celtics players, Dallas Mavericks players, Detroit Pistons players, Golden State Warriors players, Cancer deaths in the United States, Deaths from leukemia, People from Royal Oak, Michigan
József Halzl	1933 births, 2020 deaths, Hungarian businesspeople, Hungarian scientists, Hungarian engineers
Paul Hornung	1935 births, 2020 deaths, Deaths from dementia, Green Bay Packers players, Sportspeople from Louisville, Kentucky, American football quarterbacks, American football placekickers, Heisman Trophy winners
Attila Horváth	1967 births, 2020 deaths, Deaths from the COVID-19 pandemic in Hungary, Hungarian sportspeople, Olympians
Halina Kwiatkowska	1921 births, 2020 deaths, Polish movie actors, Polish television actors, Polish stage actors, Polish educators
Alfred Muller	1940 births, 2020 deaths, French mayors
Chromosome 21	Chromosomes
Jean-Pierre Chevènement	1939 births, Living people, French mayors
Louis Rostollan	1936 births, 2020 deaths, Deaths from lung disease, French cyclists, Sportspeople from Marseille
Kićo Slabinac	1944 births, 2020 deaths, Croatian writers, Pop singers, Pop musicians, Rock singers, Rock musicians, Eurovision Song Contest entrants
Vladimír Székely	1941 births, 2020 deaths, Hungarian engineers, Hungarian scientists, People from Budapest
Hungarian Academy of Sciences	National academies of sciences, Buildings and structures in Europe, Budapest
John Meurig Thomas	1932 births, 2020 deaths, Welsh writers, British historians, British educators, British chemists
Carmarthenshire	Counties of Wales
Walter Eichner	1950 births, 2020 deaths, German politicians, People from Bavaria
Landsberg am Lech	Towns in Bavaria
Norman Taylor (basketball)	1965 births, 2020 deaths, Deaths from myocardial infarction, American basketball players, Naturalised citizens of Australia, Australian basketball players, Sportspeople from New York City, Sportspeople from New South Wales
Chandrawati	1928 births, 2020 deaths, Deaths from the COVID-19 pandemic in India, Lieutenant Governors of Puducherry
Rohtak	Cities and towns in Haryana
Sterlington, Louisiana	Towns in Louisiana
Harry Holman (footballer)	1957 births, 2020 deaths, English footballers, People from Devon
Harry Holman	1872 births, 1947 deaths, American movie actors, American stage actors, Deaths from myocardial infarction, Actors from Missouri
Conway, Missouri	Cities in Missouri
Paul Rodriguez (actor)	1955 births, Living people, Naturalized citizens of the United States, Mexican movie actors, Mexican television actors, Mexican voice actors, Mexican comedians, Mexican singers, American movie actors, American television actors, American voice actors, American rap musicians from California, Republicans (United States), Singers from Los Angeles, California, Actors from Los Angeles, California, Comedians from Los Angeles, California, People from Compton, California
Richard Kosolapov	1930 births, 2020 deaths, Russian scientists, Russian philosophers, Russian journalists, Russian educators
Mohammad Ali (Bangladeshi politician)	1944 births, 2020 deaths, Bangladeshi politicians, Bangladeshi Muslims
Ravi Belagere	1958 births, 2020 deaths, Deaths from myocardial infarction, Indian journalists, Indian novelists
Bellary	Cities in India, Settlements in Karnataka
Brown River tree frog	Animals of Oceania, Frogs
Avenue	Roads
Artem Kahan	Living people, 1985 births, Jewish businesspeople
Yahadut HaTorah HaMeuhedet	1992 establishments in Israel, Judaism in Israel, Political parties in Israel
Neopronoun	Language, Gender, LGBT, Pronouns
Handover of Hong Kong	History of Hong Kong, 1997 in the United Kingdom, 1990s in China
Witold Sadowy	1920 births, 2020 deaths, Polish movie actors, Polish television actors, Polish stage actors, Polish journalists, LGBT journalists, LGBT actors, Gay men, People from Warsaw
Victor Popa	1949 births, 2020 deaths, Moldovan politicians, Judges
Kereta Api Indonesia	Trains, Indonesia
Snow in Florida	Florida, Snow
Basilica of Our Lady of Licheń	Roman Catholic churches, Buildings and structures in Poland
