Hammered dulcimer	Early musical instruments
Rahmatollah Javadi Chermahini	1955 births, 2021 deaths, Teachers, Iranian people
Celai West	2008 births, Living people, American models, American philanthropists
WorldWide CDI Organization	Research organizations, 2018 establishments in Europe
Honorific	Styles (manners of address)
Boana riojana	Frogs, Animals of South America
Credo TV	Television networks, Romania
Demigender	Gender
Jyoti Gogte	Indian writers, 1956 births, Living people
Spatzenhausen	Garmisch-Partenkirchen (district)
Uffing am Staffelsee	Garmisch-Partenkirchen (district)
Unterammergau	Garmisch-Partenkirchen (district)
Wallgau	Garmisch-Partenkirchen (district)
Petropavlovsk-Kamchatsky Air Flight 251 (2021)	July 2021 events
Roberto Hernández (sprinter)	1967 births, 2021 deaths, Cuban sportspeople, Sprinters, Olympic silver medalists, Deaths from cardiovascular disease
X-ray astronomy	Astronomy
HM Treasury	Departments of the United Kingdom Government, Finance, 11th-century establishments
Walter Tetley	1915 births, 1975 deaths, Actors from Manhattan, American voice actors
Bill Scott (voice actor)	1920 births, 1985 deaths, American voice actors
Fox and His Friends	1975 drama movies, 1970s LGBT movies, German drama movies, Movies directed by Rainer Werner Fassbinder
Charlie Ruggles	1886 births, 1970 deaths, Actors from California
Edward Everett Horton	1886 births, 1970 deaths, Actors from Brooklyn, Columbia University alumni
Steam bath	Hygiene
Edo-Tokyo Open Air Architectural Museum	Museums in Tokyo
Grotta dell’Acqua Bianca (Mandello Lake Como)	Caves, Lombardy
The Last King	2016 drama movies, Norwegian movies, Danish movies, Swedish movies, German drama movies, Irish movies, Hungarian movies, Movies directed by Nils Gaup
Shipwrecked (1990 movie)	1990 movies, 1990s adventure movies, 1990s family movies, Norwegian movies, Swedish movies, American adventure movies, American family movies, Fijian movies, Movies based on books, Movies directed by Nils Gaup
Donald Fullilove	1958 births, Living people, Actors from Dallas, Texas
Rebecca Robles	American television actors, American movie actors, Living people
Ephemera	Collecting, Documents
Ray of Light	Madonna albums, 1998 albums
Eddie Deezen	1957 births, Living people, American comedians, Actors from Maryland
Black Girl (1966 movie)	1966 drama movies, French drama movies, Senegalese movies, Movies directed by Ousmane Sembène
Moolaadé	2004 drama movies, Senegalese movies, Burkinabé movies, Moroccan movies, Tunisian movies, Cameroonian movies, French drama movies, Movies directed by Ousmane Sembène
Talmas	Communes in Somme
Pierre Part, Louisiana	Census-designated places in Louisiana
Supreme, Louisiana	Census-designated places in Louisiana
Bordelonville, Louisiana	Census-designated places in Louisiana
Center Point, Louisiana	Census-designated places in Louisiana
Fifth Ward, Louisiana	Census-designated places in Louisiana
Lakeview, Louisiana	Census-designated places in Louisiana, Settlements in Caddo Parish, Louisiana
Singer, Louisiana	Census-designated places in Louisiana
Sugartown, Louisiana	Census-designated places in Louisiana
Eden Isle, Louisiana	Census-designated places in Louisiana
Lacombe, Louisiana	Census-designated places in Louisiana
Hester, Louisiana	Census-designated places in Louisiana
Moonshine, Louisiana	Census-designated places in Louisiana
North Vacherie, Louisiana	Census-designated places in Louisiana
Avondale, Louisiana	Census-designated places in Louisiana
Jefferson, Louisiana	Census-designated places in Louisiana
Carlyss, Louisiana	Census-designated places in Louisiana
Paulina, Louisiana	Census-designated places in Louisiana
Romeville, Louisiana	Census-designated places in Louisiana
St. James, Louisiana	Census-designated places in Louisiana
South Vacherie, Louisiana	Census-designated places in Louisiana
Welcome, Louisiana	Census-designated places in Louisiana
Repsol	1980s establishments in Spain, 1987 establishments in Europe, Companies of Spain
Amok (1983 movie)	1983 drama movies, Moroccan movies, Guinean movies, Senegalese movies, Movies directed by Souheil Ben-Barka
Indra Sistemas	Companies of Spain, 1993 establishments in Europe, 1990s establishments in Spain
Okja	2017 movies, 2010s action movies, 2010s adventure movies, South Korean movies, American action movies, American adventure movies, Movies directed by Bong Joon-ho
Adore (album)	1998 albums
William Carvalho	1992 births, Portuguese footballers, Angolan people, Association football midfielders, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, Living people
Mercedes Bentso	Living people, 1993 births, Finnish musicians, Rap musicians
Pau Torres (footballer, born 1997)	1997 births, Spanish footballers, Association football defenders, Living people
Femme Fatale (movie)	2002 movies, 2000s thriller movies, French thriller movies, German movies, Swiss movies, Liechtenstein movies, American thriller movies, American erotic movies, Warner Bros. movies, Movies directed by Brian De Palma
Count Dracula (movie)	1970 movies, 1970s horror movies, Spanish movies, German horror movies, Italian horror movies, Liechtenstein movies, British horror movies, Movies based on books, Movies directed by Jesús Franco
The Ghost of War	1988 drama movies, Nicaraguan movies, Cuban movies, Mexican movies, Spanish movies
Templeux-la-Fosse	Communes in Somme
Templeux-le-Guérard	Communes in Somme
Conover, North Carolina	Cities in North Carolina
Balkrishna Gogte	1916 births, 2000 deaths, Indian philanthropists
Boris Badenov	Animated characters, Fictional characters introduced in the 1950s, Television characters
Rocky the Flying Squirrel	Fictional animals, Fictional characters introduced in the 1950s
Caprimulgiformes	Birds by order
Coming Home (New Found Glory album)	2006 albums
Dudley Do-Right	Fictional Canadian people, Fictional characters introduced in 1961
Strisores	Birds by order
1901 (song)	Songs
Montholon	2017 establishments in France, Communes in Yonne
List of Azerbaijani-language television channels	Television lists, Azerbaijani language
Boana joaquini	Frogs, Animals of South America
Tertry	Communes in Somme
Thennes	Communes in Somme
Barataria, Louisiana	Census-designated places in Louisiana
Ampfing	Mühldorf (district)
Keshav Dutt	1925 births, 2021 deaths, Indian sportspeople, Ice hockey players, Olympic gold medalists
Adrian Metcalfe	1942 births, 2021 deaths, British Olympic silver medalists, British athletes, Sportspeople from Yorkshire
First Lady of Egypt	First Ladies of Egypt
Entissar Amer	1956 births, Living people, First Ladies of Egypt, People from Cairo
Suzanne Mubarak	1941 births, Living people, First Ladies of Egypt, Philanthropists, People from Cairo
Naglaa Mahmoud	1962 births, Living people, First Ladies of Egypt
Isidore Mankofsky	1931 births, 2021 deaths, American cinematographers, Artists from New York City
Larry McMurtry	1936 births, 2021 deaths, American novelists, American essayists, American screenwriters, American television writers, Writers from Texas, Deaths from congestive heart failure
Ivo Trumbić	1935 births, 2021 deaths, Croatian sportspeople, Water polo coaches, Water polo players, Olympic gold medalists, Olympic silver medalists
Goodwill Zwelithini	1948 births, 2021 deaths, Kings and queens, South African people, Deaths from the COVID-19 pandemic in South Africa
Bathhouse	Hygiene, History
Kiyoko Ono	1936 births, 2021 deaths, Deaths from the COVID-19 pandemic in Japan, Japanese Olympic bronze medalists, Japanese politicians, Gymnasts
Henry Darrow	1933 births, 2021 deaths, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Sabine Schmitz	1969 births, 2021 deaths, German racecar drivers, German television personalities, Cancer deaths in Germany
The Fiumelatte Cave (Lierna Lake Como)	Caves, Lombardy
Antón García Abril	1933 births, 2021 deaths, Spanish composers, Spanish musicians
Team Hoyt	Duos
Holland, Massachusetts	Towns in Massachusetts
Yevgeny Nesterenko	1938 births, 2021 deaths, Deaths from the COVID-19 pandemic, Russian composers, Russian educators, Russian stage actors, Russian singers, Actors from Moscow
Ezra T. Newman	1929 births, 2021 deaths, American physicists, American academics, Scientists from New York City, Scientists from Pittsburgh, Pennsylvania
Toshihiko Koga	1967 births, 2021 deaths, Japanese Olympic gold medalists, Japanese Olympic silver medalists, Judoka, Deaths from cancer
Adam Zagajewski	1945 births, 2021 deaths, Polish poets, Polish essayists, Translators
Hana Hegerová	1931 births, 2021 deaths, Deaths from heart failure, Czech movie actors, Czech television actors, Czech stage actors, Czech singers, People from Prague
John Crichton-Stuart, 7th Marquess of Bute	1958 births, 2021 deaths, Cancer deaths in Scotland, Scottish racecar drivers
Fergal Reilly	Living people, Irish voice actors, Irish movie directors
William Smith (actor)	1933 births, 2021 deaths, American movie actors, American television actors, American stage actors, American voice actors, Actors from Missouri
Geoff Makhubo	1968 births, 2021 deaths, Deaths from the COVID-19 pandemic in South Africa, South African politicians, Mayors, People from Johannesburg
Villa Lario Resort (Mandello-Lierna Lake Como)	Hotels, 2015 establishments in Europe, 2010s establishments in Italy, Lombardy
Hadaka no tsukiai	Japanese culture
April Stewart	1969 births, Living people, American voice actors
Surrender (1987 movie)	1987 comedy movies, 1980s LGBT movies, American comedy movies, American LGBT movies, Warner Bros. movies
Banya	Russia, Hygiene, Health, Health care
Shinobi (2002 video game)	2002 video games, Action video games, PlayStation 2 games, PlayStation Network games, Sega video games, Video game remakes, Video games developed in Japan
Arc the Lad Collection	2002 video games, Arc the Lad series, PlayStation games, PlayStation-only games, Sony Interactive Entertainment games, Video games developed in Japan
Vyjayanthimala	1936 births, Living people, Indian movie actors, Indian stage actors, Indian television actors, Indian politicians, People from Chennai
Madhubala	1933 births, 1969 deaths, Cardiovascular disease deaths in India, Indian movie actors, Indian stage actors, People from New Delhi
Ventricle (heart)	Heart
Atrium (heart)	Heart
John G. Hutchinson	1935 births, Businesspeople from West Virginia, Living people, United States representatives from West Virginia, American mayors, People from Charleston, West Virginia, US Democratic Party politicians
Henry J. Nowak	1935 births, Living people, American lawyers, United States representatives from New York, Businesspeople from Buffalo, New York, Politicians from Buffalo, New York, US Democratic Party politicians
Cleve Benedict	1935 births, Living people, United States representatives from West Virginia, US Republican Party politicians, Politicians from Pennsylvania, People from Harrisburg, Pennsylvania
Abdul Ghaffar Khan	1890 births, 1988 deaths, Deaths from stroke, Indian activists, Pakistani people, Political activists
Young Man with Ideas	1952 comedy movies, 1950s romantic comedy movies, American romantic comedy movies, MGM movies, Movies directed by Mitchell Leisen
Carl Schmitt	1888 births, 1985 deaths, Nazi Party, German people
Omomyidae	Fossils, Primates
Adapidae	Primates
Maddie Taylor	1966 births, Living people, Actors from Michigan, American movie actors, American television actors, American video game actors, American voice actors, Comedians from Michigan, People from Flint, Michigan, Transgender and transsexual people
Mister Peabody	Fictional dogs, Fictional characters introduced in the 1950s
Snidely Whiplash	Television characters, Fictional characters introduced in 1961
Antonio Rüdiger	1993 births, German footballers, Association football defenders, Premier League players, Chelsea F.C. players, 2018 FIFA World Cup players, Sportspeople from Berlin, Living people
Another 48 Hrs.	1990 action movies, 1990 comedy movies, 1990s buddy movies, 1990s sequel movies, American buddy movies, American action comedy movies, American sequel movies, Buddy cop movies, Buddy action movies, Buddy comedy movies, Paramount movies, Movies directed by Walter Hill
Banks Springs, Louisiana	Census-designated places in Louisiana
Hayes, Louisiana	Census-designated places in Louisiana
Gillis, Louisiana	Census-designated places in Louisiana
Prien, Louisiana	Census-designated places in Louisiana
Starks, Louisiana	Census-designated places in Louisiana
Ama, Louisiana	Census-designated places in Louisiana
Boutte, Louisiana	Census-designated places in Louisiana
Des Allemands, Louisiana	Census-designated places in Louisiana
Rosenberg's tree frog	Frogs, Animals of South America
Central Coast (New South Wales)	Cities in New South Wales
Baybayin	Languages of the Philippines, Writing systems
Trigender	Gender
7 July 2005 London bombings memorials and services	July 2005 London bombings
Nicole Oliver	1970 births, Living people, Canadian voice actors
AMGTV	American television networks
Youtoo America	American television networks, 1985 establishments in the United States
Not My Ex (songs)	2017 songs
Snartemo Sword	Swords
Murtaza Jafri	Living people, 1958 births, Pakistani painters, People from Lahore, Sculptors
List of civil parishes in Rutland	Lists of civil parishes in England
2021 CONCACAF Gold Cup	July 2021 events
César Azpilicueta	1989 births, Spanish footballers, Association football defenders, Chelsea F.C. players, Premier League players, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, People from Pamplona, Living people
