List of regions of Canada	Canada-related lists, Regions of Canada
Chūsei Sone	1937 births, 2014 deaths, Deaths from pneumonia, Disease-related deaths in Japan, Japanese movie directors, Japanese movie producers, Japanese screenwriters, People from Gunma Prefecture
James Lawson	1928 births, Living people, American civil rights activists, American educators, Writers from Pennsylvania, American human rights activists, American philanthropists, Christian writers, Nonviolence advocates
The Last Poets	1968 establishments in New York (state), Musicians
Elmo Williams	1913 births, 2015 deaths, Academy Award winners, American centenarians, American movie directors, American movie editors, American movie producers, Businesspeople from Oklahoma, Businesspeople from Oregon
Valeri Petrov	1920 births, 2014 deaths, Bulgarian politicians, Deaths from stroke, People from Sofia, Bulgarian writers, Playwrights, Poets, Screenwriters, Socialists, European translators
Sunda Islands	Geography of Asia
Francis Edgar Stanley	American inventors, 1849 births, 1918 deaths, American photographers, Businesspeople from Maine
Yehezkel Braun	1922 births, 2014 deaths, German Jews, Israeli academics, Jewish academics, Jewish Israeli musicians, Naturalized citizens of Israel, People from former German territories, People from Wrocław, Tel Aviv University alumni
Peret	1935 births, 2014 deaths, Deaths from lung cancer, Spanish singers, Spanish composers, Guitarists
List of things named after Ronald Reagan	Buildings and structures named after Ronald Reagan
Ronald Reagan Federal Building and Courthouse (Pennsylvania)	Buildings and structures named after Ronald Reagan, Buildings and structures in Pennsylvania, 1966 establishments in the United States, 1960s establishments in Pennsylvania
Mount Clay	Geography of New Hampshire, Ronald Reagan, Mountains of the United States
Sandy Wilson	1924 births, 2014 deaths, Alumni of the University of Oxford, English composers, Musicians from Cheshire
Mardi Gras (album)	1972 albums
Jan Groth	1946 births, 2014 deaths, Christians, Deaths from cancer, Disease-related deaths in Norway, Keyboardists, Norwegian singers, Pentecostals, Rock singers
John Houseman	1902 births, 1988 deaths, American movie actors, American movie producers, British movie actors, British movie producers, Cancer deaths in the United States, Deaths from spinal cancer, Naturalized citizens of the United States, People from Bucharest
Simon Featherstone	1958 births, 2014 deaths, Alumni of the University of Oxford, British diplomats, British lawyers, Disease-related deaths in England, Politicians from London, Ambassadors of the United Kingdom
Carl Van Vechten	1880 births, 1964 deaths, American photographers, Writers from Iowa, People from Cedar Rapids, Iowa
Fania Marinoff	1890 births, 1971 deaths, American silent movie actors, Deaths from pneumonia, Infectious disease deaths in New Jersey, Naturalized citizens of the United States, People from Odessa, Russian movie actors
Timothy Olyphant	1968 births, Living people, American movie actors, American television actors, American voice actors, Actors from Honolulu
Vic Seixas	1923 births, American male tennis players, Australian Open champions, French Open champions, Jewish American sportspeople, Living people, Sportspeople from Philadelphia, Pennsylvania, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players
John Spencer-Churchill, 11th Duke of Marlborough	1926 births, 2014 deaths, British educators, Writers from Oxfordshire
Tommy Hilfiger	1951 births, Living people, American fashion designers, Businesspeople from New York
Calvin Klein (fashion designer)	1942 births, Living people, American fashion designers, Businesspeople from New York City
Gabe Newell	1962 births, Living people, American billionaires, Democrats (United States), Harvard University alumni, Microsoft, Businesspeople from Colorado, Video game designers
The Crusade (album)	Heavy metal albums, 2006 albums
Emerson, Lake and Powell	Musical groups established in 1985, 1986 disestablishments
Tomorrowland	2005 establishments in Europe, Music festivals, Belgian culture, Antwerp (province)
In Waves	Heavy metal albums, 2011 albums
Tampereen Pyrintö (basketball)	Basketball teams, Tampere, Sport in Finland
Ceará Sporting Club	Brazilian football clubs, Ceará, 1914 establishments in Brazil
Alianza Lima	Peruvian football clubs, 1901 establishments, 20th-century establishments in Peru, 1900s establishments in South America
Club Universitario de Deportes	Peruvian football clubs, 1924 establishments in South America, 20th-century establishments in Peru
C.A. Banfield	Argentine football clubs, 1896 establishments, 19th-century establishments in Argentina
Callao	Cities in Peru, Capitals of regions of Peru, Regions of Peru
Mike Lowry	1939 births, 2017 deaths, American Baptists, American progressives, Cardiovascular disease deaths in Washington (state), Deaths from stroke, Governors of Washington, United States representatives from Washington, US Democratic Party politicians
Jed Lowrie	Oakland Athletics players, 1984 births, Living people, Boston Red Sox players, Houston Astros players, Sportspeople from Oregon, People from Salem, Oregon
Brandon Moss	Oakland Athletics players, Kansas City Royals players, 1983 births, Living people, Sportspeople from Georgia (U.S. state), Boston Red Sox players, Philadelphia Phillies players, Pittsburgh Pirates players
MIPS architecture	Microprocessor design
We're the Millers	2013 comedy movies, 2013 crime movies, 2010s criminal comedy movies, 2010s road movies, American criminal comedy movies, American road movies, Comedy road movies, Denver, Colorado, English-language movies, Movies about drugs, Movies set in Colorado, Movies set in Mexico
Marcel Masse	1936 births, 2014 deaths, Civil servants, Members of the House of Commons of Canada from Quebec, Privy Councillors (Canada)
Benno Pludra	1925 births, 2014 deaths, East German people, German children's writers, Writers from Brandenburg
Fernando Zunzunegui	1943 births, 2014 deaths, Spanish footballers
Jean-François Beltramini	1948 births, 2014 deaths, Disease-related deaths in France, French footballers, People from Rouen
Peter Bacon Hales	1950 births, 2014 deaths, American academics, American artists, American educators, American historians, American photographers, Musicians from California, Musicians from Chicago, Musicians from New York, People from Pasadena, California, Road accident deaths in New York
Elfriede Brüning	1910 births, 2014 deaths, Deaths from natural causes, German centenarians, German communists, German journalists, German novelists, German prisoners, Writers from Berlin
Lars Mortimer	1946 births, 2014 deaths, Cartoonists, Comics artists, Disease-related deaths in Sweden, Swedish artists
Bill Kerr	1922 births, 2014 deaths, Actors from New South Wales, Australian comedians, Australian military people, Australian movie actors, Australian radio personalities, Australian stage actors, Australian television actors, Military personnel of World War II, People from Cape Town, Radio actors
Douglas Carswell	1971 births, English politicians, Living people, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, Independent politicians
Star Wars Rebels	American science fiction television series, American children's television series, Disney Channel shows, Star Wars series
Lucasfilm	American entertainment companies, Disney, 1971 establishments in the United States, Star Wars, Disney companies
Freelan Oscar Stanley	American inventors, 1849 births, 1940 deaths, Businesspeople from Maine
Kodak	Photography, Rochester, New York
Delminium	History of Bosnia and Herzegovina
Dalmatae	Croatian people, Bosnia and Herzegovina people, Ancient history
Jack Kraft	1921 births, 2014 deaths, Sportspeople from Philadelphia, Pennsylvania
Alicia Alonso	1921 births, 2019 deaths, Cuban entertainers, Ballerinas, Choreographers, People from Havana
Ignacio López Tarso	1925 births, Living people, Mexican movie actors, Mexican television actors, Mexican stage actors, Actors from Mexico City
Oakes, North Dakota	Cities in North Dakota, 1886 establishments in the United States, 1880s establishments in North Dakota
Björn Waldegård	1943 births, 2014 deaths, Deaths from cancer, Swedish sportspeople, Racecar drivers
John Anthony Walker	1937 births, 2014 deaths, American criminals, American military people, People from Washington, D.C., People who died in prison custody in the United States, Spies
Double Impact	1991 action movies, 1991 crime movies, 1991 movies
Doc Hollywood	1990s romantic comedy movies, 1991 movies
Glenn Cornick	1947 births, 2014 deaths, Bass guitarists, British rock guitarists, Cardiovascular disease deaths in the United States, Deaths from congestive heart failure, Musicians from Lancashire
Bob Wareing	1930 births, 2014 deaths, English politicians, Former Labour MPs (UK), Former members of the British House of Commons for English constituencies
Ed and Lorraine Warren	1926 births, 2006 deaths, 1927 births, 2019 deaths, Writers from Connecticut
Ed Warren	1926 births, 2006 deaths
Brasse Brännström	1945 births, 2014 deaths, Disease-related deaths in Sweden, Actors from Stockholm, Swedish movie actors, Swedish stage actors, Swedish television actors, Swedish voice actors
Lorraine Warren	1927 births
Patrick Wilson (American actor)	1973 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Virginia, Singers from Virginia, People from Norfolk, Virginia
Steven Tyler	1948 births, Living people, Aerosmith, Singer-songwriters from New York City, Television personalities from New York City, People from Yonkers, New York
Edie McClurg	1951 births, Living people, American movie actors, American television actors, American voice actors, Actors from Kansas City, Missouri
Off-site data protection	Computing
Integrated development environment	Software
Syntax highlighting	Software
Victor J. Stenger	1935 births, 2014 deaths, American activists, American atheists, American educators, American philosophers, American physicists, Cardiovascular disease deaths in the United States, Deaths from aortic aneurysm, Science writers, Scientists from New Jersey, People from Bayonne, New Jersey, Writers from New Jersey
