Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
Licence to Kill	1989 action movies, 1980s spy movies, American action movies, British movies, Mexican movies, James Bond movies, Movies directed by John Glen, Movies about the illegal drug trade
Ernst Albrecht	1930 births, 2014 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Germany, Ministers-President of Lower Saxony, People from Heidelberg, Politicians from Baden-Württemberg
Ralph Foody	1928 births, 1999 deaths, Deaths from cancer, American movie actors, American television actors, Actors from Chicago
Ahmed Kathrada	1929 births, 2017 deaths, Deaths from blood clot, South African politicians
Tom Adams (actor)	1938 births, 2014 deaths, Actors from London, Deaths from cancer of unknown primary origin, Cancer deaths in Berkshire, English movie actors, English stage actors, English television actors, English voice actors
John Baxter (footballer)	1936 births, 2014 deaths, Scottish footballers
Bob Solinger	1925 births, 2014 deaths, Detroit Red Wings players, Ice hockey people from Saskatchewan, Toronto Maple Leafs players, American Hockey League players
Jack Swigert	1931 births, 1982 deaths, Apollo astronauts, American Roman Catholics, Deaths from respiratory failure, Cancer deaths in Washington, D.C., Scientists from Denver, Colorado, Politicians from Denver, Colorado, United States representatives from Colorado, US Republican Party politicians
This Is the Army	1943 movies, 1940s musical movies, 1940s comedy movies, American musical comedy movies, Movies directed by Michael Curtiz
Frances Langford	1913 births, 2005 deaths, Deaths from congestive heart failure, American movie actors, American radio actors, American television actors, American stage actors, Actors from Florida, Singers from Florida
Jensen Beach, Florida	Census-designated places in Florida
Bill Bonds	1930s births, 2014 deaths, Deaths from myocardial infarction, American television presenters, People from Detroit, Michigan
Michael A. Epstein	1921 births, Living people, English biologists, English physicians, Fellows of the Royal Society, Jewish British academics, Jewish British scientists, Scientists from London, Virologists
Zero-point energy	Energy, Physics, Subatomic particles
Black Christmas (1974 movie)	1974 horror movies, Canadian horror movies, Christmas movies, English-language movies, Warner Bros. movies, Movies directed by Bob Clark
Black Christmas (2006 movie)	2006 horror movies, American horror movies, American movie remakes, American teen movies, Canadian horror movies, Christmas movies, English-language movies, Incest in movies, Movies set in Massachusetts, Movies set in the 1970s, Movies set in the 1980s, Movies set in the 1990s
I Still Know What You Did Last Summer	1998 horror movies, 1990s mystery movies, 1990s teen horror movies, American mystery movies, American sequel movies, American teen horror movies, Columbia Pictures movies, English-language movies, Movies about revenge, Slasher movies
Fragmentation (reproduction)	Biological reproduction
Joey Bishop	1918 births, 2007 deaths, Deaths from heart failure, American movie actors, American television actors, American voice actors, Television personalities from New York City, Comedians from New York City, Actors from New York City
Peter Lawford	1923 births, 1984 deaths, Deaths from cardiac arrest, Deaths from renal failure, Deaths from liver failure, Naturalized citizens of the United States, English movie actors, English television actors, American movie actors, American television actors, Actors from London, Singers from London
Inside Out (2015 movie)	2015 animated movies, 2015 comedy-drama movies, 2010s fantasy movies, Academy Award winning movies, American adventure movies, American animated movies, American comedy-drama movies, American family movies, American fantasy movies, Computer-animated movies, English-language movies, Fantasy comedy movies, Golden Globe Award winning movies, Movies about families, Movies composed by Danny Elfman, Movies composed by Michael Giacchino, Movies set in Minnesota, Movies set in San Francisco, Movies that won the Best Animated Feature Academy Award, Pixar movies
House of Grimaldi	House of Grimaldi
Anglosphere	Colonialism, British Empire, Commonwealth of Nations, English language
Wild Card (movie)	2015 drama movies, 2010s crime drama movies, English-language movies, Movie remakes, Movies set in Las Vegas, Lionsgate movies
Let's Go Pocoyo	2010s television series, Children's television series
Geoff Downes	1952 births, Living people, British keyboardists, English rock musicians, Musicians from Cheshire, People from Stockport, Greater Manchester
2014 Sydney hostage crisis	2010s in Australia, December events, History of Sydney, Murder in 2014, Murder in Australia, Terrorist incidents in the 2010s
Active transport	Cell biology
Andreas Schockenhoff	1957 births, 2014 deaths, Former members of the German Bundestag, Politicians from Baden-Württemberg, Politicians of the Christian Democratic Union of Germany
Joan Barril	1952 births, 2014 deaths, Deaths from pneumonia, Infectious disease deaths in Spain, Spanish journalists, People from Barcelona, Spanish writers
David H. Gambrell	1929 births, 2021 deaths, United States senators from Georgia, Politicians from Atlanta, Georgia, US Democratic Party politicians
George A. Sinner	1928 births, 2018 deaths, Deaths from pneumonia, Governors of North Dakota, US Democratic Party politicians
Caravan (travellers)	Transport
Flying University	Education in Poland, History of Poland, Warsaw, 1885 establishments, Establishments in Poland, 1900s disestablishments in Europe, 1880s establishments in Europe
Because I Said So	2007 romance movies, 2007 comedy movies, 2000s romantic comedy movies, American romantic comedy movies
Piper Perabo	Actors from Dallas, Texas, Actors from New Jersey, American movie actors, American stage actors, American television actors, 1976 births, Living people
Lauren Graham	American television actors, American movie actors, American writers, Actors from Honolulu, 1967 births, Living people
The Blue Meanie	1973 births, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from Philadelphia, Pennsylvania
Eastcote	London Borough of Hillingdon
Monster Buster Club	Animated television series, French television series, 2008 Canadian television series debuts, 2009 television series endings, 2008 establishments in France, 2000s disestablishments in Canada, 2000s disestablishments in France, English-language television programs
Mieszko II Lambert	990 births, 1034 deaths, Kings of Poland, Polish dukes, Piast dynasty
Self storage	Business
Walking stick	Tools, Weapons
Chakri	1974 births, 2014 deaths, Deaths from myocardial infarction, Indian singers, Composers
John McVie	1945 births, Living people, British bass guitarists, English rock guitarists, Musicians from London, People with cancer
Louis Alphonse Koyagialo	1947 births, 2014 deaths, Prime Ministers of the Democratic Republic of the Congo
Saint Lucy	Christian saints
Saint Emiliana	Christian saints
Louis, Prince of Condé (1668–1710)	House of Bourbon, Deaths from stroke, Dukes and Duchesses of Bourbon, People from Paris, 1668 births, 1710 deaths
Raquel Castro	Actors from New York, People from New York, American child actors, American movie actors, American television actors, 1994 births, Living people
Nick Cravat	Actors from New York City, American movie actors, American television actors, Cancer deaths in Los Angeles, Deaths from lung cancer, 1912 births, 1994 deaths
Dennis Morgan	American television actors, American movie actors, Singers from Wisconsin, Actors from Wisconsin, 1908 births, 1994 deaths
Francisco Ibáñez Talavera	1936 births, Living people, Comics artists
Pulgarcito	Comics, Magazines of Europe
Shapeshifting	Mythology
Don L. Anderson	1933 births, 2014 deaths, Cancer deaths in California, American physicists, American geologists, American educators, Writers from Maryland
Norman Bridwell	1928 births, 2014 deaths, Deaths from heart failure, American philanthropists, American cartoonists, Writers from Indiana
Treaty of Waitangi	1840s treaties, History of New Zealand, 1840, 19th century in Oceania
Priscilla Morrill	American television actors, Actors from Boston, Massachusetts, 1927 births, 1994 deaths
Stuart Little (movie)	1999 comedy movies, American comedy movies, Columbia Pictures movies, English-language movies, Movies about cats, Movies based on books, Movies set in New York City, Screenplays by M. Night Shyamalan
Insulated glazing	Energy conservation, Windows (architecture)
Louis Henri, Duke of Bourbon	Dukes and Duchesses of Bourbon, 1692 births, 1740 deaths, People from Versailles
Fourth wall	Entertainment
Boethius	480 births, 524 deaths, Ancient Roman writers, Philosophers
Kristina Orbakaitė	1971 births, Living people, Musicians from Moscow, Russian singers, Russian movie actors
Tamara Gverdtsiteli	1962 births, Living people, People from Tbilisi, Russian actors, Russian singers, Soviet actors, Soviet singers
Bellvale, California	Unincorporated communities in California, Settlements in San Mateo County, California
Bellvale, New York	Hamlets in New York
Otra Cosa	2010 albums, Julieta Venegas albums
Rooster Teeth	Companies based in Texas, Movie studios, 2003 establishments in the United States, 2000s establishments in Texas
Samsung Galaxy S5	Samsung mobile phones, Mobile phones released in 2010s, Mobile phones with 4K video recording
1980 Republican National Convention	20th century in Detroit, Michigan, United States Republican Party, United States presidential nominating conventions, 1980 in the United States, 1980s in Michigan, July events
1980 Republican Party presidential primaries	United States Republican Party, United States presidential primary elections, 1980 in the United States
1968 Republican Party presidential primaries	United States presidential primary elections, 1968 in the United States, United States Republican Party
1968 Republican National Convention	1968 in the United States, 1960s in Florida, United States presidential nominating conventions, United States Republican Party, August events
1976 Republican Party presidential primaries	1976 in the United States, United States presidential primary elections, United States Republican Party
1976 Republican National Convention	1976 in the United States, United States presidential nominating conventions, History of Kansas City, Missouri, United States Republican Party, 20th century in Missouri, August events
1984 Republican Party presidential primaries	United States Republican Party, United States presidential primary elections, 1984 in the United States
1984 Republican National Convention	1984 in the United States, 1980s in Texas, 20th century in Dallas, Texas, United States presidential nominating conventions, United States Republican Party, August events
1992 Republican National Convention	1992 in the United States, United States Republican Party, United States presidential nominating conventions, 20th century in Houston, Texas, 1990s in Texas, August events
Juke Girl	1942 movies, 1940s crime movies, 1940s drama movies, 1940s mystery movies, American crime drama movies, American mystery movies, English-language movies, Movies set in Florida, Ronald Reagan, Movies directed by Curtis Bernhardt
The Marrying Man	1991 comedy movies, 1991 romance movies, 1990s romantic comedy movies, American romantic comedy movies, English-language movies, Movies set in Las Vegas
