Dizzee Rascal	English rap musicians, Grime music artists, Living people, 1984 births
Gary Friedrich	1943 births, 2018 deaths, Deaths from Parkinson's disease, Disease-related deaths in Missouri, American comics writers, Writers from Missouri
Jackson, Missouri	Cities in Missouri, County seats in Missouri
Hillsboro, Missouri	Cities in Missouri, County seats in Missouri
Meghan McCain	1984 births, Living people, American columnists, American television presenters, American political commentators, Republicans (United States), Fox News people, Writers from Phoenix, Arizona, Entertainers from Phoenix, Arizona
David Garcia	Living people, American educators, Politicians from Phoenix, Arizona, US Democratic Party politicians
Alexander Zakharchenko	1976 births, 2018 deaths, Ukrainian politicians, Assassinated people
Stan Brock	British philanthropists, British television presenters, People from Lancashire, Deaths from myocardial infarction, 1936 births, 2018 deaths
Rockford, Tennessee	Cities in Tennessee
Education Loan Finance	2016 establishments in the United States, Finance, Companies of the United States, Knoxville, Tennessee
Fisheye lens	Camera lenses
Public inquiry	Public speaking, Democracy, Government
Gentleman	Society
Anushka Sharma	1988 births, Indian models, Indian movie actors, Living people, Actors from Uttar Pradesh
Michael Sheehan	1939 births, Living people, Bishops, American Roman Catholics, People with Alzheimer's disease, People from Wichita, Kansas, People from Santa Fe, New Mexico
Shirley Abrahamson	1933 births, 2020 deaths, Deaths from pancreatic cancer, American judges, American lawyers, Politicians from New York City, Politicians from Milwaukee, Wisconsin, Women judges
Daugava River	Rivers of Belarus, Rivers of Russia, Latvia
Hillsboro, Alabama	Towns in Alabama
North Courtland, Alabama	Towns in Alabama
Town Creek, Alabama	Towns in Alabama
Oakville, Alabama	Unincorporated communities in Alabama
Hobson City, Alabama	Towns in Alabama
Ohatchee, Alabama	Towns in Alabama
Cape Girardeau County, Missouri	1812 establishments in Missouri Territory, Missouri counties
Blount County, Tennessee	Tennessee counties
John Venn	1834 births, 1923 deaths, English mathematicians, English philosophers, Fellows of the Royal Society
S Orionis	Red giants, Variable stars
W Hydrae	Red giants, Variable stars
Rho Cassiopeiae	Hypergiants, Variable stars
HR 5171	Hypergiants, Variable stars
Quaker State 400	21st century in Kentucky, 2011 establishments in the United States, NASCAR tracks, Monster Energy NASCAR Cup Series races, 2011 in sports
Ken Thompson	1943 births, Scientists from Louisiana, People from New Orleans, Louisiana, Living people, American computer scientists
Aloe Blacc	1979 births, Living people, African-American singers, Singers from California
Theocritus	Ancient Greek poets, 3rd century BC deaths
Auditorium 6	2017 horror movies, American horror movies
Tim Richmond	1955 births, 1989 deaths, Sportspeople from Ohio, NASCAR drivers, Deaths from AIDS, Infectious disease deaths in Florida
Languages with official status in India	Languages of India, Language-related lists, India-related lists
Margit Sandemo	1924 births, 2018 deaths, Norwegian writers, Swedish writers
Hodges, Alabama	Towns in Alabama
Phil Campbell, Alabama	Towns in Alabama
Vina, Alabama	Towns in Alabama
Ray Barry	1928 births, 2018 deaths, American ice hockey players, Boston Bruins players, Canadian ice hockey centres, Sportspeople from Massachusetts, Sportspeople from Edmonton
Shorter, Alabama	Towns in Alabama
Notasulga, Alabama	Towns in Alabama
Nauvoo, Alabama	Towns in Alabama
Royal Rumble (2013)	2013 in professional wrestling, 2010s in Phoenix, 2013 in the United States, January events, Royal Rumble
Royal Rumble (2005)	2005 in professional wrestling, January events, 2000s in California, 2005 in the United States, History of Fresno, California, Royal Rumble
Royal Rumble (2004)	2004 in professional wrestling, 2000s in Philadelphia, 2004 in the United States, January events, Royal Rumble
Royal Rumble (2003)	January events, 2003 in professional wrestling, 2003 in the United States, 2000s in Boston, Massachusetts, Royal Rumble
Lutheran Church–Missouri Synod	Lutheranism, 1847 establishments in the United States
Royal Rumble (2002)	January events, 2002 in professional wrestling, 2002 in the United States, 2000s in Atlanta, Georgia, Royal Rumble
Vinicius and Tom	2016 Summer Olympics
Serayu River	Rivers of Asia, Geography of Indonesia
Arsène Tchakarian	1916 births, 2018 deaths, Deaths from myocardial infarction, French historians, French military people, Armenian historians, Armenian military people
National Museum of Brazil	2018 disasters, 2010s in Brazil, Rio de Janeiro, September 2018 events, Museums
Samuel Conti	1922 births, 2018 deaths, American judges, Politicians from Los Angeles, California
James Mirrlees	1936 births, 2018 deaths, Scottish people, Economists
Carilda Oliver Labra	1922 births, 2018 deaths, Deaths from pneumonia, Cuban writers, Poets
Paul Taylor	Kennedy Center honorees, Emmy Award winners, 1930 births, 2018 deaths, Deaths from renal failure, Disease-related deaths in New York City, American choreographers, American dancers, People from Pittsburgh, Pennsylvania
Joseph Kobzon	1937 births, 2018 deaths, Deaths from prostate cancer, Russian singers
Ray (wrestler)	1982 births, 2018 deaths, Deaths from brain cancer, People from Hong Kong, Wrestlers
Marie Severin	1929 births, 2018 deaths, Deaths from stroke, Cardiovascular disease deaths in New York, American comics artists, People from New York City
East Rockaway, New York	Villages in New York
Massapequa, New York	Census-designated places in New York (state), Hamlets in New York
Amityville, New York	Villages in New York
Susan Brown	1932 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Los Angeles, American movie actors, American television actors, Actors from San Francisco
Eileen Fulton	1933 births, Living people, American movie actors, American television actors, American stage actors, Actors from North Carolina, People from Asheville, North Carolina
Luigi Luca Cavalli-Sforza	1922 births, 2018 deaths, Italian scientists, Geneticists, People from Genoa
Tarun Sagar	1967 births, 2018 deaths, Deaths from jaundice, Jainism, Indian writers, Monks
Randy Weston	1926 births, 2018 deaths, Cardiovascular disease deaths in New York City, American jazz musicians, American composers, American pianists, Musicians from New York City
Ehsan Yarshater	1920 births, 2018 deaths, Deaths from thrombosis, Disease-related deaths in California, Iranian writers, Historians, Linguists
Conway Savage	1960 births, 2018 deaths, Deaths from brain cancer, Australian singer-songwriters, Australian pianists, Australian rock singers, Australian rock musicians, Musicians from Victoria (Australia)
Carole Shelley	1939 births, 2018 deaths, Deaths from pancreatic cancer, Cancer deaths in New York City, English movie actors, English television actors, English stage actors, Actors from London
Babylon, New York	Towns in New York
Barry Du Bois	1960 births, Living people, Australian television presenters, Designers, People with cancer, People from Sydney
Gareth O'Callaghan	1961 births, Living people, Irish writers, Irish television personalities, Irish radio personalities
Neurodegeneration	Neuroscience
St John Ambulance	International organizations, Charities
Roger Delgado	1918 births, 1973 deaths, Actors from London, British military personnel of World War II, English movie actors, English television actors, English stage actors, Road accident deaths
Gambia River	Rivers of Africa, The Gambia, Guinea, Senegal
Tongyong Pinyin	Romanization, Words, Chinese language
Turgor	Cell biology
Starships (song)	2012 songs, Nicki Minaj songs, Dance-pop songs, Hip hop songs
Gordon Phillips	1946 births, 2018 deaths, Cancer deaths in England, English footballers, English football managers, Sportspeople from London
Renée Fleming	1959 births, Living people, American opera singers, American jazz singers, Sopranos, Singers from Pennsylvania
Sanford, Alabama	Towns in Alabama
Horn Hill, Alabama	Towns in Alabama
Hurtsboro, Alabama	1850s establishments in Alabama, 1857 establishments in the United States, Towns in Alabama
Hytop, Alabama	Towns in Alabama
Indian Springs Village, Alabama	Towns in Alabama
Inverness, Alabama	Unincorporated communities in Alabama
Westover, Alabama	Cities in Alabama
Wilton, Alabama	Towns in Alabama
Vincent, Alabama	Cities in Alabama
Springville, Alabama	Cities in Alabama
Moody, Alabama	Cities in Alabama
Buckhurst Hill	Towns in Essex, Civil parishes in Essex
Mooresville, Alabama	Towns in Alabama
Lester, Alabama	Towns in Alabama
Jemison, Alabama	Cities in Alabama
Jacqueline Pearce	1943 births, 2018 deaths, Deaths from lung cancer, British movie actors, British television actors, British voice actors, Actors from Surrey, People from Woking
Katyna Ranieri	1925 births, 2018 deaths, Deaths from heart failure, Italian singers, Italian movie actors
Thomas Sowell	1930 births, Living people, American economists, American educators, American conservatives, American political scientists, American political writers, Writers from South Carolina
Richard Viguerie	1933 births, Living people, American political writers, American conservatives, Writers from Texas
Pasadena, Texas	Cities in Texas, 1893 establishments in the United States, 1890s establishments in Texas
Claire Wineland	1997 births, 2018 deaths, Deaths from stroke, Deaths from surgical complications, American activists, Businesspeople from Texas, Writers from Austin, Texas
Leslie Jones (comedian)	1967 births, Living people, American movie actors, American television actors, American voice actors, American comedians, Actors from Memphis, Tennessee
Danny Huston	1962 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American movie directors, American screenwriters, Actors from Rome, Writers from Rome
Nevada, Missouri	Cities in Missouri, County seats in Missouri
Dumbo (2019 movie)	2019 movies, American adventure movies, American fantasy movies, Disney movie remakes, Movies based on books
Augustus Loftus	1817 births, 1904 deaths, Governors of New South Wales, Privy Councillors (UK), Knights Grand Cross of the Order of the Bath, Ambassadors of the United Kingdom
Jon Polito	1950 births, 2016 deaths, Deaths from multiple myeloma, Cancer deaths in California, American movie actors, American television actors, American stage actors, American voice actors, Actors from Philadelphia, Pennsylvania
Duarte, California	Cities in California, Settlements in Los Angeles County, California
Royal Rumble (2001)	January events, 2001 in professional wrestling, Royal Rumble, Sports in New Orleans, Louisiana, 21st century in New Orleans, Louisiana, 2000s in Louisiana, 2001 in the United States
Royal Rumble (1999)	January events, 1999 in professional wrestling, Sports in Anaheim, California, 1999 in the United States, 1990s in California, History of Anaheim, California
Tropical Storm Gordon (2018)	Hurricanes in the United States, 2018 in the United States
Ken Harrelson	1941 births, Living people, Kansas City Athletics players, Minnesota Twins players, Boston Red Sox players, Cleveland Indians players, Chicago White Sox, Sportspeople from South Carolina, Sportspeople from Georgia (U.S. state), Sportspeople from Indiana, People from Savannah, Georgia
