Executive order (United States)	United States law
Theeran Adhigaram Ondru	Indian movies, Tamil-language movies, 2017 movies, Action movies, Thriller movies
Indian nationality law	India, Law, Nationality, Rights
Sohu	Companies listed on NASDAQ
Jichang Garden	Botanical gardens in Asia, China
Carshalton	London Borough of Sutton
Ed Kemper	American serial killers, People from Burbank, California, People from California, 1948 births, Living people
Hanahoi	History of South Korea, 20th century in Asia
Greg Forristall	1950 births, 2017 deaths, Cancer deaths in the United States, Politicians from Iowa, US Republican Party politicians, State legislators of the United States
Gabriel Chiramel	1914 births, 2017 deaths, Deaths from multiple organ failure, Disease-related deaths in India, Indian writers, Indian educators, Human rights activists, Roman Catholics
Mark Colvin	1952 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in Sydney, British journalists, Australian journalists, Writers from London
Hückel's rule	Organic chemistry
Muhammad Nurul Islam	Living people, 1943 births, Bangladeshi people
Franksgiving	Thanksgiving, 20th century in the United States, Franklin D. Roosevelt
Bab-e-Pakistan	Buildings and structures in Lahore
Earl of Rothes	Scottish Earls
Nöel Leslie, Countess of Rothes	1878 births, 1956 deaths
Beppo Mauhart	1933 births, 2017 deaths, Deaths from stroke, Austrian businesspeople, Austrian writers, Austrian journalists
Prime Minister of Finland	Prime Ministers of Finland
President of Finland	Presidents of Finland
Cécile DeWitt-Morette	1922 births, 2017 deaths, French mathematicians, French physicists, French educators, Scientists from Paris, Writers from Paris
Bryce DeWitt	1923 births, 2004 deaths, American academics, American physicists, Cancer deaths in Texas, Deaths from pancreatic cancer, Scientists from California, Theoretical physicists, Writers from California
Tellervo Koivisto	1929 births, Living people, Finnish politicians, Autobiographers
Clelio Darida	1927 births, 2017 deaths, Mayors, Politicians from Rome
Antonio Candido	1918 births, 2017 deaths, Brazilian critics, Literary critics, Brazilian educators, South American sociologists, People from Rio de Janeiro, Deaths from hernia
Yale Lary	1930 births, 2017 deaths, Detroit Lions players, Politicians from Texas, Sportspeople from Texas, Businesspeople from Texas, US Democratic Party politicians
Leslie House	Buildings and structures in Scotland, 1670s establishments in Europe, 17th century establishments in Scotland, 2009 disestablishments in the United Kingdom
Sneakernet	File sharing
Dürnten	Municipalities of Zürich
Egg, Switzerland	Municipalities of Zürich
Esslingen, Switzerland	Villages in Zürich
Eglisau	Municipalities of Zürich
Elgg	Municipalities of Zürich, Cities in Switzerland
Ellikon an der Thur	Municipalities of Zürich
Elsau	Municipalities of Zürich
Embrach	Municipalities of Zürich
Erlenbach, Switzerland	Municipalities of Zürich
Fällanden	Municipalities of Zürich
Fehraltorf	Municipalities of Zürich
Feuerthalen	Municipalities of Zürich
Archaic Greece	Ancient Greece
In Terms of Love (2015 version)	2015 songs
Thanos	Fictional characters introduced in the 1970s, Galactic emperors, Marvel Comics aliens, Marvel Comics supervillains, Internet memes, Fictional mass murderers
Châteaudun	Communes in Eure-et-Loir, Subprefectures in France
Yumeji Tsukioka	1922 births, 2017 deaths, Deaths from pneumonia, Japanese movie actors
D. Lowell Jensen	1928 births, Living people, American judges, American lawyers, People from California, People from Utah, US Democratic Party politicians
Marshall Julum Shakya	1940 births, 2017 deaths, Deaths from myocardial infarction, Deaths from cerebral hemorrhage, Deaths from sepsis, Deaths from pneumonia, Deaths from heart failure, Nepalese politicians, Activists
Stefania Jabłońska	1920 births, 2017 deaths, People from Warsaw, Polish academics, Polish physicians
Nicolas Stacey	1927 births, 2017 deaths, English activists, English Christians, Writers from Yorkshire
Juan Carlos Tedesco	1944 births, 2017 deaths, Argentine politicians, People from Buenos Aires
Zoran Madžirov	1968 births, 2017 deaths, Deaths from myocardial infarction, Composers, Inventors, Drummers
Emmanuèle Bernheim	1955 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in France, French novelists, French screenwriters, Writers from Paris
Tom McClung	1957 births, 2017 deaths, Deaths from lymphoma, Cancer deaths in France, American jazz musicians, American pianists, American composers, Musicians from New York City
Hubert Minnis	1954 births, Living people, Prime Ministers of the Bahamas, Physicians
Dillard's	Companies based in Arkansas, American department stores, Little Rock, Arkansas, Companies listed on the New York Stock Exchange, 1983 establishments in the United States, 20th-century establishments in Arkansas
Henri Termeer	1946 births, 2017 deaths, Businesspeople from Massachusetts, Cardiovascular disease deaths in Massachusetts, Deaths from aneurysm, Naturalized citizens of the United States, People from Tilburg, Scientists from Massachusetts
Yanko Daucik	1941 births, 2017 deaths, Deaths from pulmonary embolism, Czech footballers, People from Prague, Sportspeople from Madrid
Mary Baker Eddy	1821 births, 1910 deaths, Deaths from pneumonia, Disease-related deaths in Massachusetts, Christian Scientists, American abolitionists, American feminists, American human rights activists, American theologians, Writers from New Hampshire, Writers from Massachusetts
Christian Science	Nontrinitarianism
Muriel Pavlow	1921 births, 2019 deaths, English movie actors, English television actors, English stage actors, Actors from London, Actors from Kent
Visitor center	Buildings and structures, Tourism
Chipping Campden	Towns in Gloucestershire
HeLa	Cells, Research, Molecular biology
Chileans	Chilean people
Human Clay	1999 albums
Powers Boothe	1948 births, 2017 deaths, Actors from Texas, American movie actors, American television actors, American voice actors, Deaths from cardiopulmonary arrest, Deaths from pancreatic cancer, Cancer deaths in Los Angeles, Emmy Award winning actors
Chu Ke-liang	1946 births, 2017 deaths, Deaths from liver failure, Deaths from colorectal cancer, Taiwanese actors, Taiwanese singers, Comedians, Television presenters
Keisen University	Colleges and universities in Tokyo, 1988 establishments in Japan
Smuglyanka	1940s songs
Mimikyu	Pokémon monsters
Thomas Bloodworth	1620 births, 1682 deaths, Mayors of London, English politicians
Pothole (landform)	Bodies of water, Landforms, Ponds
Fischenthal	Municipalities of Zürich
Flaach	Municipalities of Zürich
Lee Weissenborn	1929 births, 2017 deaths, American lawyers, Cardiovascular disease deaths in Florida, Deaths from stroke, Politicians from St. Louis, Missouri, Politicians from Florida, University of Florida alumni, US Democratic Party politicians
Édouard Philippe	1970 births, Living people, French lawyers, French mayors, People from Rouen, Prime Ministers of France
Callista Gingrich	1966 births, Living people, American lawyers, American political writers, Ambassadors of the United States, American Roman Catholics, Writers from Wisconsin, Politicians from Wisconsin, US Republican Party politicians
New Zealand's Top 100 History Makers	Lists of entertainers, New Zealand people, 2005 television series debuts
Silvano Basagni	1938 births, 2017 deaths, Deaths from multiple myeloma, Cancer deaths in Italy, Italian sportspeople, Sport shooters, Olympic bronze medalists
Frank Brian	1923 births, 2017 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Louisiana, American basketball players, Sportspeople from Louisiana
Brad Grey	1957 births, 2017 deaths, Cancer deaths in Los Angeles, American television producers, Businesspeople from New York City, Movie producers from New York City
Moors murders	1938 births, 1942 births, 2017 deaths, 2002 deaths, Deaths from bronchopneumonia, Deaths from COPD, Crime in the United Kingdom, English serial killers, 1960s in England
John Cygan	1954 births, 2017 deaths, Cancer deaths in Los Angeles, American video game actors, American movie actors, American television actors, American voice actors, Actors from New York City, Comedians from New York City
Max Newman	1897 births, 1984 deaths, British mathematicians, British people of World War II, Fellows of the Royal Society, Jewish British scientists, People from Kensington and Chelsea (London borough), Scientists from London
Smartwatch	Clocks
Aryeh Deri	1959 births, Living people, Government ministers of Israel, Israeli political leaders, Israeli prisoners, Jewish Israeli criminals, Jewish Israeli politicians, Members of Knesset, Moroccan Jews, Naturalized citizens of Israel, Shas politicians, Moroccan politicians
Fidget spinner	Toys
Mr. Football Award (Kentucky)	Sports trophies and awards
Mary Tsoni	1987 births, 2017 deaths, Greek actors, Greek singers, Make-up artists, People from Athens
Ted Hibberd	1926 births, 2017 deaths, Canadian ice hockey forwards, People from Ottawa, Sportspeople from Ontario
Yu So-chow	1930 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in San Francisco, Chinese movie actors, People from Beijing
Amotz Zahavi	1928 births, 2017 deaths, Israeli scientists, Evolutionary biologists, Israeli academics
Doug Somers	1951 births, 2017 deaths, American professional wrestlers, Sportspeople from Minneapolis, Minnesota
Karl-Otto Apel	1922 births, 2017 deaths, German philosophers, People from Düsseldorf
Javier Valdez Cárdenas	1967 births, 2017 deaths, Assassinated people, Mexican journalists, People from Sinaloa, CPJ International Press Freedom Award winners
Neil Rolde	1931 births, 2017 deaths, Deaths from natural causes, Disease-related deaths in Maine, American historians, Writers from Massachusetts, Writers from Maine, Politicians from Massachusetts, Politicians from Maine, People from Brookline, Massachusetts, US Democratic Party politicians
Oleg Vidov	1943 births, 2017 deaths, Deaths from pancreatic cancer, Cancer deaths in California, Naturalized citizens of the United States, Soviet movie actors, Soviet television actors, American movie actors, American television actors, American stage actors, American voice actors, Actors from Moscow, Actors from Los Angeles, California, Movie directors from Los Angeles, California, Movie producers from Los Angeles, California
Leonard Lopate	1940 births, Living people, American journalists, American critics, American political writers, American radio personalities, Writers from New York City
William Cohen	1940 births, Living people, American mayors, Boston University alumni, United States representatives from Maine, United States Secretaries of Defense, United States senators from Maine, US Republican Party politicians, People from Bangor, Maine, 21st-century American politicians, 20th-century American politicians, Recipients of the Order of the Rising Sun
