Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
Nepal Nag	1909 births, 1978 deaths, Bangladeshi politicians, People from Dhaka, Hindus
Homer vs. Patty and Selma	The Simpsons (season 6) episodes, 1995 television episodes
Weberbauerella chilensis	Faboideae
SD Compostela	20th century establishments in Spain, 1962 establishments in Europe, Spanish football clubs, Santiago de Compostela
Teleostomi	Fish
Georgie Glen	1956 births, Living people, Scottish stage actors, Scottish television actors, Scottish movie actors
TeamTO	2005 establishments, Animation studios
Pampas cat	Felines, Mammals of South America
Tropicbird	Birds
David Proval	1942 births, Living people, Actors from Brooklyn, American movie actors, American television actors, Jewish American actors
Brian Tyree Henry	1982 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from North Carolina
Grosse Ile (Michigan)	Islands of the United States, Geography of Michigan
Clem Eischen	1926 births, 2020 deaths, American track and field athletes, American Olympians, Sportspeople from Nebraska
Andrzej Tomaszewicz	1943 births, 2020 deaths, Polish historians, Polish politicians
Bill Holm (art historian)	1925 births, 2020 deaths, American historians, Writers from Montana
Trace radioisotope	Chemical elements, Radiometric dating
Bill Sveinson	1946 births, 2020 deaths, Poker players, Sportspeople from Saskatchewan
Roger Berlind	1930 births, 2020 deaths, Deaths from cardiopulmonary arrest, Theatre producers, Businesspeople from New York City, Tony Award winners
Two Men in Manhattan	1959 movies, 1950s crime movies, French crime movies, Movies directed by Jean-Pierre Melville
River Great Ouse	Rivers of England
Tank (movie)	1984 action movies, 1984 comedy movies, American action movies, American comedy movies
Charlie Brooker (ice hockey)	1932 births, 2020 deaths, Canadian ice hockey left wingers, Canadian Olympic bronze medalists
Joan Dougherty	1927 births, 2020 deaths, Deaths from the COVID-19 pandemic in Canada, Politicians from Montreal
John Ahern (politician)	1934 births, 2020 deaths, State legislators of the United States, Politicians from Washington, Politicians from Montana, People from Havre, Montana, US Republican Party politicians
Christmas Oratorio	Compositions by Johann Sebastian Bach, Oratorios, Christmas music
Net run rate	Cricket, Sports words
Hermina Pipinić	1928 births, 2020 deaths, Croatian actors, People from Zagreb
Eileen Pollock	1947 births, 2020 deaths, British movie actors, British television actors, British voice actors, British stage actors, People from Belfast
Raymon Anning	1930 births, 2020 deaths, People from Hong Kong, Police officers, People from London
Romolo Tavoni	1926 births, 2020 deaths, Italian businesspeople
Richard Vande Hoef	1925 births, 2020 deaths, State legislators of the United States, Politicians from Iowa, US Republican Party politicians
Tadeusz Górczyk	1961 births, 2020 deaths, Polish politicians
Hamish McLachlan (rower)	1967 births, 2020 deaths, Australian Olympians, Rowers, Australian businesspeople, Fraudsters, Australian criminals, Stockbrokers
Arkady Andreasyan	1947 births, 2020 deaths, Armenian sportspeople, Soviet sportspeople, Olympic bronze medalists, Footballers, Football managers
Pero Kvrgić	1927 births, 2020 deaths, Croatian actors
Lonnie Laffen	1958 births, 2020 deaths, State legislators of the United States, Politicians from North Dakota, US Republican Party politicians, Deaths from myocardial infarction
Bijeljina	Cities in Bosnia and Herzegovina
Mićo Mićić	1956 births, 2020 deaths, Deaths from the COVID-19 pandemic in Bosnia and Herzegovina, Bosnia and Herzegovina politicians, Mayors
Frankie Randall	1961 births, 2020 deaths, American boxers, Sportspeople from Birmingham, Alabama
Sugathakumari	1934 births, 2020 deaths, Deaths from bronchopneumonia, Deaths from the COVID-19 pandemic in India, Indian activists, Indian poets, Feminist writers, Environmentalists, People from Kerala
K. J. Yesudas	1940 births, Living people, Indian composers, Indian musicians, Indian singers, Indian movie actors
Ron Widby	1945 births, 2020 deaths, American football punters, American basketball players, Dallas Cowboys players, Green Bay Packers players, Sportspeople from Tennessee, People from Knoxville, Tennessee
Rika Zaraï	1938 births, 2020 deaths, Deaths from stroke, Israeli singers, Israeli writers, Songwriters, People from Jerusalem
Michael Alig	1966 births, 2020 deaths, American people convicted of manslaughter, Businesspeople from Indiana, Businesspeople from New York City, Criminals from Indiana, Criminals from New York City, Drug-related deaths in the United States, Gay men, LGBT businesspeople, LGBT criminals, LGBT people from Indiana, LGBT people from New York City, People from South Bend, Indiana, People with histrionic personality disorder
Fairport, New York	Villages in New York
Perinton, New York	Towns in New York
Ivan Bogdan	1928 births, 2020 deaths, Ukrainian sportspeople, Olympic gold medalists
Shamsur Rahman Faruqi	1935 births, 2020 deaths, Indian poets, Indian educators, Deaths from the COVID-19 pandemic in India
Robin Jackman	1945 births, 2020 deaths, Indian cricketers, English cricketers
Jamal Khwaja	1926 births, 2020 deaths, Indian politicians, Philosophers
Anil Nedumangad	1972 births, 2020 deaths, Indian movie actors, Indian television actors, Television news anchors, Accidental deaths by drowning
Maksim Tsyhalka	1983 births, 2020 deaths, Belarusian footballers
Joyce Bulifant	1937 births, Living people, American movie actors, American television actors, American stage actors, Actors from Virginia, Writers from Virginia, People from Newport News, Virginia
Joachim Bäse	1939 births, 2020 deaths, German footballers
Wojciech Borowik	1956 births, 2020 deaths, Polish politicians, Deaths from the COVID-19 pandemic in Poland
Claude Brasseur	1936 births, 2020 deaths, French movie actors, French television actors, French stage actors, French voice actors, Actors from Paris
Norma Cappagli	1939 births, 2020 deaths, Road accident deaths, Argentine models, Miss World winners, People from Buenos Aires
Edmund M. Clarke	1945 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, American computer scientists, American academics, Scientists from Virginia, People from Newport News, Virginia, Turing Award winners
Ed Gomes	1936 births, 2020 deaths, Road accident deaths in the United States, State legislators of the United States, Politicians from Massachusetts, Politicians from Connecticut, People from Bridgeport, Connecticut, US Democratic Party politicians
Darul Uloom Deoband	1866 establishments, Islam in India, Colleges and universities in India
Paul Loridant	1948 births, 2020 deaths, French mayors
Les Ulis	Communes in Essonne
Ille-sur-Têt	Communes in Pyrénées-Orientales
Oppo Reno4 Lite	Oppo mobile phones, Mobile phones released in 2020
Ron Lurie	1941 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Deaths from blood cancer, Mayors of Las Vegas, Politicians from Los Angeles, California, Businesspeople from Los Angeles, California, Businesspeople from Las Vegas, Nevada, US Democratic Party politicians
Muhammad Mustafa Mero	1941 births, 2020 deaths, Deaths from the COVID-19 pandemic, Prime Ministers of Syria
Özkan Sümer	1940 births, 2020 deaths, Turkish footballers, Turkish football managers
Rubén Tierrablanca Gonzalez	1952 births, 2020 deaths, Deaths from the COVID-19 pandemic in Turkey, Turkish people, Mexican people, Roman Catholic bishops, Roman Catholic priests
Magnon	Quantum mechanics, Magnetism
Tuck Tucker	1961 births, 2020 deaths, American animators, American songwriters, American television writers, American television directors, Writers from Virginia, People from Lynchburg, Virginia
Antonio Vacca	1934 births, 2020 deaths, Deaths from throat cancer, Italian Roman Catholics, Roman Catholic bishops
Mouloud Achour	1944 births, 2020 deaths, Academics, Journalists, Algerian people
National Assembly (Mali)	Mali
Mohamad Aziz	1940 births, 2020 deaths, Malaysian politicians
Rosario Cordero	1966 births, 2020 deaths, Deaths from colorectal cancer, Spanish politicians, Mayors, Cancer deaths in Spain
Romangordo	Municipalities in Extremadura
Ivry Gitlis	1922 births, 2020 deaths, Israeli musicians, Violinists, People from Haifa
Yehuda Henkin	1945 births, 2020 deaths, Israeli rabbis, Israeli Jews, People from Jerusalem
Thoriq Husler	1963 births, 2020 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian politicians
AKM Jahangir Hossain	1954 births, 2020 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian politicians
Milorad Janković	1940 births, 2020 deaths, Serbian footballers
Aleksandar Ivoš	1931 births, 2020 deaths, Serbian footballers
B. J. Marsh	1940 births, 2020 deaths, State legislators of the United States, Politicians from Missouri, Businesspeople from Missouri, US Republican Party politicians, Deaths from the COVID-19 pandemic in the United States
Greenfield, Missouri	Cities in Missouri, County seats in Missouri
Pir Noor Muhammad Shah Jeelani	2020 deaths, 1951 births, Pakistani politicians, Deaths from the COVID-19 pandemic in Pakistan
Irawaddy frog	Animals of Asia, Frogs
Benhur Salimbangon	1945 births, 2020 deaths, Deaths from cancer, Filipino politicians
Mojmir Sepe	1930 births, 2020 deaths, Slovenian writers, Composers, Conductors, Trumpeters
Felis attica	Felines
Guy N. Smith	1939 births, 2020 deaths, English novelists, People from Staffordshire
Davie Sneddon	1936 births, 2020 deaths, Scottish football managers, Scottish footballers
Minoru Makihara	1930 births, 2020 deaths, Japanese businesspeople, Businesspeople from London, Deaths from heart failure
John Cremona	1918 births, 2020 deaths, Maltese politicians, Maltese lawyers, Judges
Siv Widerberg	1931 births, 2020 deaths, Swedish journalists, Writers from Stockholm
Reginald Foster (Latinist)	1939 births, 2020 deaths, Roman Catholic priests, American Roman Catholics, Writers from Milwaukee, Wisconsin
Dab (dance)	Internet memes, Dance
Milka Babović	1928 births, 2020 deaths, Deaths from the COVID-19 pandemic in Croatia, Croatian writers, Female athletes, Journalists, People from Skopje, Sprinters
Brian Binley	1942 births, 2020 deaths, UK MPs 2005–2010, UK MPs 2010–2015, Former Conservative MPs (UK), People from Northamptonshire
George Blake	1922 births, 2020 deaths, British criminals, Spies, People from Rotterdam
Cambridge Five	Spies, World War II, Cold War, 1940s in England, 1950s in the United Kingdom, University of Cambridge
Anthony Blunt	1907 births, 1983 deaths, Academics of the University of Cambridge, Alumni of the University of Cambridge, British historians, British military personnel of World War II, Deaths from myocardial infarction, English LGBT people, Gay men, LGBT academics, People from Bournemouth, Spies, Writers from Hampshire
