Wall plug	Hardware (mechanical)
Theo Peckham	American Hockey League players, Canadian ice hockey defencemen, Chicago Blackhawks players, Edmonton Oilers players, Ice hockey people from Ontario, Living people, 1987 births, ECHL players, Ontario Hockey League players
William Tell Overture	Compositions by Gioachino Rossini, Overtures
Cinderella (opera)	Compositions by Gioachino Rossini, Operas
Valse triste	Compositions by Jean Sibelius, Waltzes
Violin Concerto (Sibelius)	Compositions by Jean Sibelius, Violin concertos
Mike Kostka	1985 births, American Hockey League players, Canadian ice hockey defencemen, Chicago Blackhawks players, Ice hockey people from Ontario, Living people, New York Rangers players, Tampa Bay Lightning players, Toronto Maple Leafs players
Fifty Shades of Grey (movie)	2015 romance movies, 2015 drama movies, 2010s romantic drama movies, American romantic drama movies, BDSM in movies, Controversies, English-language movies, Movies based on books, Movies set in Washington (U.S. state)
Juan dela Cruz	National personifications, Philippines
Juan dela Cruz (TV series)	2010s television series, Philippine television series, 2013 television series debuts, 2013 establishments in Asia, 2010s establishments in the Philippines, 2013 television series endings, 21st century disestablishments in Asia
Flag of the Philippines	Philippines, National flags
Bangsamoro Republik	2013 establishments in Asia, Philippines
Moro National Liberation Front	Islamic organizations, 1969 establishments in Asia, Nationalist organizations in Asia, Rebel militia groups in Asia, 1960s establishments in the Philippines
Marlon Stöckinger	Racecar drivers, 1991 births, Living people, Filipino sportspeople, People from Manila
ClariS	Girl groups, J-pop bands, 2009 establishments in Asia, Duos, People from Hokkaido, 2000s establishments in Japan
Philippine eagle	Birds of Asia, Philippines, Accipitriformes
Shifty Adventures in Nookie Wood	John Cale albums, 2012 albums
Battle of New Orleans	1814, 1815, 1810s in the United States, Andrew Jackson, Battles involving the United States, 19th century in Louisiana
Tlazolteotl	Aztec gods and goddesses
Washington Navy Yard shooting	2013 murders in the United States, 2010s in Washington, D.C., 2010s mass shootings in the United States, Crime in Washington, D.C., Massacres in the United States, Murders by firearm in the United States
Looper (movie)	2012 crime movies, 2012 thriller movies, 2010s crime thriller movies, 2010s action movies, 2012 science fiction movies, American action movies, American crime thriller movies, American science fiction movies, English-language movies, Dystopian movies, American independent movies
Roman house	Ancient Rome, Houses
Yomiuri Giants	Baseball teams, Baseball in Japan
Dili Municipality	Municipalities of East Timor
Turquoise-browed motmot	Coraciiformes, Birds of North America
Holyoke, Massachusetts	Cities in Massachusetts, 1745 establishments, 1740s establishments in the Thirteen Colonies, 18th-century establishments in Massachusetts
Nymphomaniac (movie)	2013 drama movies, 2010s LGBT movies, Adultery in movies, Belgian movies, Danish movies, English-language movies, French drama movies, German drama movies, Swedish movies, LGBT drama movies, LGBT erotic movies, Movies about virginity, Rape in movies, Movies directed by Lars von Trier, Movies about pedophilia
Lauren Bush	People from Denver, Colorado, Models from Houston, Texas, 1984 births, Living people
Greg Wilcock	Living people, Year of birth missing (living people), Ambassadors of Australia
Louise Hand	Year of birth missing (living people), Living people, Ambassadors of Australia
The Saint of Bleecker Street	Compositions by Gian Carlo Menotti, Stigmata, 1950s operas, 1954
Assemblywomen	Long words, Ancient Greece
Māori Wikipedia	Māori language
Night on Bald Mountain	Compositions by Modest Mussorgsky, Orchestral works
Iron deficiency anemia	Blood disorders
Romeo and Juliet (ballet)	Ballets, Compositions by Sergei Prokofiev
Jenůfa	1900s operas, Compositions by Leoš Janáček, 1904 works
L'Orfeo	Compositions by Claudio Monteverdi, 17th century operas
Il ritorno d'Ulisse in patria	Compositions by Claudio Monteverdi, 17th century operas
Dmitri Kulikov	Buffalo Sabres players, Florida Panthers players, Living people, Russian ice hockey players, Winnipeg Jets players, 1990 births
Archaeocyatha	Sponges
Fanfare for the Common Man	Compositions by Aaron Copland, Orchestral works
Rodeo (ballet)	Ballets, Compositions by Aaron Copland
List of figures in Greek mythology	Greek gods and goddesses, Lists of gods and goddesses
Land bridge	Landforms, Biology
Nathan MacKinnon	1995 births, Calder Trophy winners, Canadian ice hockey centres, Colorado Avalanche players, Ice hockey people from Nova Scotia, Living people, People from Nova Scotia, Quebec Major Junior Hockey League players, Memorial Cup winners
Invitation to the Dance	Compositions by Carl Maria von Weber, Solo piano pieces
Konzertstück in F minor	Compositions by Carl Maria von Weber, Piano concertos
Chaperone (protein)	Molecular biology, Proteins
Ribonuclease	Enzymes, RNA, Immunology
Baucau Municipality	Municipalities of East Timor
Illinois Secretary of State	Government of Illinois
Illinois Attorney General	Government of Illinois
Illinois Comptroller	Government of Illinois
Illinois Treasurer	Government of Illinois
Jesse White (politician)	1934 births, Living people, Politicians from Illinois, US Democratic Party politicians
Lieutenant Governor of Illinois	Lieutenant Governors of Illinois
Illinois House of Representatives	Government of Illinois, United States representatives from Illinois, State lower houses in the United States
Animal hoarding	Pets
Jesse White (actor)	1917 births, 1997 deaths, Deaths from myocardial infarction, Deaths from surgical complications, American movie actors, American television actors, American stage actors, American television personalities, Actors from Buffalo, New York, Actors from Akron, Ohio, Actors from Cleveland, Ohio
Lisa Madigan	1966 births, Living people, Politicians from Illinois, US Democratic Party politicians, State legislators of the United States
Sheila Simon	1961 births, Living people, Lieutenant Governors of Illinois, People from Carbondale, Illinois, Politicians from Springfield, Illinois, US Democratic Party politicians
Judy Baar Topinka	1944 births, 2014 deaths, Deaths from stroke, Politicians from Chicago, United States representatives from Illinois, US Republican Party politicians, State legislators of the United States
Dan Rutherford	1955 births, Living people, Politicians from Illinois, United States representatives from Illinois, US Republican Party politicians, State legislators of the United States
Michael Madigan	1942 births, Living people, State legislators of the United States, Politicians from Chicago, US Democratic Party politicians
The Evil Within	2014 video games, PlayStation 3 games, PlayStation 4 games, Windows games, Xbox 360 games, Xbox One games
Thematic map	Cartography
Fruit Ninja	2010 video games, Xbox 360 games, Windows games
David Luiz	1987 births, Living people, Brazilian footballers
Jack Wilshere	1992 births, Living people, English footballers, Arsenal F.C. players, Premier League players
Ruggero Leoncavallo	1857 births, 1919 deaths, Entertainers from Campania, Italian composers, Librettists, People from Naples
Pagliacci	Operas
Beorhtric of Wessex	Year of birth unknown, 800s deaths, Kings of Wessex
American Airlines Flight 191	1979 in the United States, Aviation disasters in the 1970s, 1970s in Illinois, Aviation disasters in the United States, May events
Ken Norton	1943 births, 2013 deaths, African-American boxers, Cardiovascular disease deaths in the United States, Deaths from heart failure, Sportspeople from Illinois
Marcel Reich-Ranicki	1920 births, 2013 deaths, Cancer deaths in Germany, Critics, Deaths from prostate cancer, Polish writers, Writers from Berlin
Michael Giannatos	1941 births, 2013 deaths, Actors from Istanbul, Deaths from myocardial infarction, Disease-related deaths in Greece, Greek actors, Television actors, Stage actors, Movie actors
Eiji Toyoda	1913 births, 2013 deaths, Japanese businesspeople, Deaths from natural causes, Japanese centenarians, Toyota, People from Aichi Prefecture
Erich Loest	1926 births, 2013 deaths, Writers who committed suicide, German writers, People from Saxony
Cynewulf of Wessex	Year of birth unknown, 780s deaths, Kings of Wessex
Mengjiang United Autonomous Government	Former countries in Asia, 1939 establishments, 1945 disestablishments in Asia, 20th century in Japan, 20th century in China, 20th century in Mongolia
Andrea Palladio	1508 births, 1580 deaths, Italian architects
Giovanni Battista Tiepolo	1696 births, 1770 deaths, 18th century Italian painters
Elegy for Brahms	Compositions by Hubert Parry, Orchestral works
Das Lied von der Erde	Compositions by Gustav Mahler, Orchestral works, Vocal music
Evaporating dish	Laboratory equipment
Muhammed Ahmed	Sudan, Religious leaders, 1845 births, 1885 deaths, Muslims
Sigeberht of Wessex	Year of birth unknown, 750s deaths, Kings of Wessex
Enrico Caruso	1873 births, 1921 deaths, Entertainers from Campania, Italian opera singers, People from Naples
David Wright (baseball)	New York Mets players, 1982 births, Living people, People from Norfolk, Virginia
Enough Said (movie)	2013 movies, American romantic comedy movies, 2010s romantic comedy movies
The Amazing Spider-Man 2	2014 action movies, 2014 science fiction movies, Movies composed by Hans Zimmer, English-language movies, Spider-Man movies, The Amazing Spider-Man (2012 movie series), 2010s superhero movies
Cuthred of Wessex	Year of birth unknown, 750s deaths, Kings of Wessex
2011 Joplin tornado	2011 in the United States, 2010s in Missouri, Tornadoes in the United States, 2011 in weather
Alex Henrique da Silva	1982 births, Living people, Armenian sportspeople, Brazilian footballers
São Miguel Island	Azores
Power forward (basketball)	Basketball
Tsubasa Imai	Singers from Kanagawa Prefecture, Japanese movie actors, Japanese voice actors, 1981 births, Living people
Hideaki Takizawa	1982 births, Living people, Actors from Tokyo, Musicians from Tokyo
Planets beyond Neptune	Solar System
Pietro Mascagni	1863 births, 1945 deaths, Italian composers, People from Livorno
Combat Zone Wrestling	1999 establishments in the United States, Professional wrestling promotions, Sports in Philadelphia, 1990s establishments in Pennsylvania
Jean de Venette	French historians, Monks, French writers, 1307 births, 1360s deaths
Athelheard of Wessex	Year of birth unknown, 740s deaths, Kings of Wessex
Blurred Lines (song)	2013 songs, Controversies, Funk songs, Plagiarism, Soul songs, Songs about sexuality, R&B songs
Arthus reaction	Immunology
Installation art	Art movements
Joakim Nordström	1992 births, American Hockey League players, Carolina Hurricanes players, Chicago Blackhawks players, Living people, Stanley Cup champions, Swedish ice hockey players, Swedish Hockey League players, Ice hockey centres
WataMote	Anime, 2013 television series debuts, 2013 establishments in Asia, 2010s establishments in Japan
Vampire Weekend	2006 establishments in New York (state), Indie rock bands, Musical groups established in 2006
Pentatomidae	Hemiptera
Draco (lawgiver)	Year of birth unknown, Year of death unknown, Ancient Greek politicians, People from Athens
Lunar Society	Members of the Lunar Society, Birmingham
Matthew Boulton	1728 births, 1809 deaths, British engineers, English businesspeople, People from Birmingham, Members of the Lunar Society, English inventors, Fellows of the Royal Society
Peasants' Revolt	14th century in England, 1381, Rebellions in Europe
Leas Cliff Hall	Kent, Concert halls in England
Dirty rap	Rap music
East Coast hip hop	Hip hop genres
Food photography	Photography, Food and drink
Ine of Wessex	Year of birth unknown, 720s deaths, Kings of Wessex
Hitachi	Companies of Japan, Manufacturing
Westgate shopping mall attack	Al-Shabaab (militant group), Attacks on buildings and structures in Africa, Attacks on buildings and structures in the 2010s, Attacks on shops, Islamic terrorist incidents in Africa, Islamic terrorist incidents in the 2010s, Mass murder in Africa, Mass murder in the 2010s, Mass shootings in Africa, Mass shootings in the 2010s, Murder in 2013, Nairobi, September events, Terrorist incidents in 2013, Terrorist incidents in Africa in the 2010s
